punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,avg_price,img_url
723,Human,Male,Medium,2,"['Wild Hair', 'Nerd Glasses']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk723.png
724,Human,Female,Light,2,"['Red Mohawk', 'Purple Eye Shadow']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk724.png
725,Human,Male,Albino,2,"['Cap', 'Normal Beard']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk725.png
726,Human,Male,Medium,4,"['Vape', 'Earring', 'Small Shades', 'Mohawk Dark']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk726.png
727,Human,Female,Dark,2,"['Black Lipstick', 'Dark Hair']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk727.png
728,Human,Female,Light,3,"['Cap', 'Purple Lipstick', 'Earring']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk728.png
729,Human,Female,Albino,2,"['Purple Eye Shadow', 'Straight Hair']",#F2DC5D,24.996666666666666,https://www.larvalabs.com/cryptopunks/cryptopunk729.png
730,Human,Male,Light,3,"['Bandana', 'Shadow Beard', 'Earring']",#F2A359,23.25,https://www.larvalabs.com/cryptopunks/cryptopunk730.png
731,Human,Male,Dark,2,"['Eye Mask', 'Shaved Head']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk731.png
732,Human,Female,Light,1,['Tassle Hat'],#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk732.png
733,Human,Female,Light,3,"['Classic Shades', 'Stringy Hair', 'Purple Lipstick']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk733.png
734,Human,Male,Medium,2,"['Nerd Glasses', 'Mohawk']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk734.png
735,Human,Male,Medium,4,"['Earring', 'Nerd Glasses', 'Mole', 'Cowboy Hat']",#DB9065,92.44500000000001,https://www.larvalabs.com/cryptopunks/cryptopunk735.png
736,Human,Female,Medium,4,"['Knitted Cap', 'Black Lipstick', 'Earring', 'Cigarette']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk736.png
737,Human,Female,Dark,3,"['Clown Eyes Green', 'Stringy Hair', 'Earring']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk737.png
738,Human,Male,Medium,1,['Earring'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk738.png
739,Human,Female,Medium,1,['Bandana'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk739.png
740,Human,Male,Medium,2,"['Shadow Beard', 'Mohawk']",#DB9065,89.99,https://www.larvalabs.com/cryptopunks/cryptopunk740.png
741,Human,Male,Dark,0,[''],#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk741.png
742,Human,Male,Light,1,['Bandana'],#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk742.png
743,Human,Male,Dark,3,"['Stringy Hair', 'Front Beard', 'Earring']",#A4031F,15.5525,https://www.larvalabs.com/cryptopunks/cryptopunk743.png
744,Human,Female,Light,2,"['Blue Eye Shadow', 'Tiara']",#F2A359,69.0,https://www.larvalabs.com/cryptopunks/cryptopunk744.png
745,Human,Male,Medium,3,"['Mustache', 'Nerd Glasses', 'Knitted Cap']",#DB9065,68.475,https://www.larvalabs.com/cryptopunks/cryptopunk745.png
746,Human,Female,Medium,2,"['Medical Mask', 'Stringy Hair']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk746.png
747,Human,Male,Medium,2,"['Cap', 'Classic Shades']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk747.png
748,Human,Male,Dark,2,"['Frumpy Hair', 'Shadow Beard']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk748.png
749,Human,Female,Dark,2,"['Green Eye Shadow', 'Dark Hair']",#A4031F,37.495,https://www.larvalabs.com/cryptopunks/cryptopunk749.png
750,Human,Male,Dark,3,"['Chinstrap', 'Wild Hair', 'Regular Shades']",#A4031F,46.38,https://www.larvalabs.com/cryptopunks/cryptopunk750.png
751,Human,Male,Medium,3,"['Cigarette', 'Frumpy Hair', 'Classic Shades']",#DB9065,46.9375,https://www.larvalabs.com/cryptopunks/cryptopunk751.png
752,Human,Male,Medium,1,['Messy Hair'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk752.png
753,Human,Female,Albino,2,"['Wild Hair', 'Purple Lipstick']",#F2DC5D,84.77,https://www.larvalabs.com/cryptopunks/cryptopunk753.png
754,Human,Male,Light,4,"['Shadow Beard', 'Earring', 'Nerd Glasses', 'Mohawk Dark']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk754.png
755,Human,Female,Albino,6,"['Mole', 'Black Lipstick', 'Clown Eyes Green', 'Earring', 'Blonde Bob', 'Cigarette']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk755.png
756,Human,Female,Albino,2,"['Cap', 'Blue Eye Shadow']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk756.png
757,Human,Female,Dark,3,"['Messy Hair', 'Purple Lipstick', 'Earring']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk757.png
758,Human,Female,Dark,3,"['Black Lipstick', 'Eye Patch', 'Cigarette']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk758.png
