,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
2559,2018-01-23,920,15,0.19,9500,Human,Female,Medium,3,"['Black Lipstick', 'Dark Hair', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk9500.png
2560,2018-01-24,5223,4768,0.1,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2561,2020-05-27,4768,4688,2.0,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2562,2021-02-20,1668,2393,17.88,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2563,2021-03-31,2393,2441,18.99,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2564,2021-04-08,2441,2378,22.0,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2565,2021-04-10,2378,2169,20.5,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2566,2021-04-12,2169,883,22.5,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2567,2021-07-30,883,372,27.99,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2568,2021-07-31,372,4184,34.87,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2569,2021-08-12,4184,6264,49.25,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2570,2022-04-22,4277,6216,57.0,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
2571,2022-07-10,6216,6313,77.0,4632,Human,Male,Dark,4,"['Vampire Hair', 'Frown', 'Chinstrap', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4632.png
